"name"	"ID"	"Ac_vs_LB_p.val"	"Glc_vs_Ac_p.val"	"Glc_vs_LB_p.val"	"Ac_vs_LB_p.adj"	"Glc_vs_Ac_p.adj"	"Glc_vs_LB_p.adj"	"imputed"	"Ac_vs_LB_significant"	"Glc_vs_Ac_significant"	"Glc_vs_LB_significant"	"significant"	"Ac_vs_LB_log2fc"	"Glc_vs_Ac_log2fc"	"Glc_vs_LB_log2fc"	"Ac_centered"	"Glc_centered"	"LB_centered"
"PP_5147"	"PP_5147"	0.78689841059515	0.865542189269403	0.919158124938121	0.924	0.937	0.907	FALSE	FALSE	FALSE	FALSE	FALSE	0.197	-0.123	0.0736	0.106	-0.0164	-0.09
"PP_5152"	"PP_5152"	0.442999845664445	0.194569243012174	0.557903839993555	0.912	0.896	0.888	FALSE	FALSE	FALSE	FALSE	FALSE	-0.644	1.13	0.488	-0.592	0.54	0.0521
"PP_5153"	"PP_5153"	0.304240000450042	0.587680372176517	0.135717904932302	0.903	0.928	0.818	FALSE	FALSE	FALSE	FALSE	FALSE	0.133	0.0684	0.202	0.0216	0.09	-0.112
"PP_5154"	"PP_5154"	0.634440920816341	0.739512499698634	0.426398760738481	0.919	0.933	0.876	FALSE	FALSE	FALSE	FALSE	FALSE	-0.171	-0.119	-0.291	-0.0173	-0.137	0.154
"PP_5156"	"PP_5156"	0.178362770396371	0.0638680010956179	0.51517844754026	0.89	0.85	0.884	FALSE	FALSE	FALSE	FALSE	FALSE	0.225	-0.329	-0.104	0.185	-0.144	-0.0405
"PP_5157"	"PP_5157"	0.0235296074976593	0.231967030048178	0.168611627829873	0.819	0.902	0.831	FALSE	FALSE	FALSE	FALSE	FALSE	-0.548	0.253	-0.296	-0.267	-0.0144	0.281
"PP_5159"	"PP_5159"	0.163151468574923	0.22930441601517	0.8194273009488	0.888	0.902	0.903	TRUE	FALSE	FALSE	FALSE	FALSE	1.77	-1.5	0.272	1.09	-0.41	-0.681
"PP_5160"	"PP_5160"	0.64601620409019	0.966067752209041	0.67624331458463	0.92	0.94	0.895	FALSE	FALSE	FALSE	FALSE	FALSE	0.0657	-0.00604	0.0597	0.0239	0.0179	-0.0418
"PP_5163"	"PP_5163"	0.0288100034829123	0.256757218472565	0.18431672019116	0.828	0.905	0.836	FALSE	FALSE	FALSE	FALSE	FALSE	0.56	-0.256	0.305	0.272	0.0163	-0.288
"PP_5166"	"PP_5166"	0.234159268370634	0.00617505587172175	0.00115190024410369	0.897	0.643	0.171	FALSE	FALSE	FALSE	FALSE	FALSE	0.316	0.914	1.23	-0.199	0.714	-0.515
"PP_5174"	"PP_5174"	0.0068279065429343	0.0440416960812208	0.244928581101049	0.742	0.83	0.851	TRUE	FALSE	FALSE	FALSE	FALSE	3.67	-2.41	1.26	2.02	-0.382	-1.64
